alpha,target_mean_deltaE,target_median_deltaE,target_max_deltaE,target_p95_deltaE,harm_count,harm_rate,classification_acc
0.0,13.809211265572728,14.592534404139524,16.740161358013626,16.3617368011054,0,0.0,0.16666666666666666
0.25,11.057677178952254,11.980485582936177,13.801154656783712,13.144823076317094,0,0.0,0.16666666666666666
0.5,8.264568430424655,8.899886662981785,10.836976531650748,10.270580228711696,0,0.0,0.5
0.75,5.458027923191168,5.453777309394658,7.872231624702145,7.759566357371066,0,0.0,0.5833333333333334
1.0,2.788781147755128,2.126544530435675,5.676285313447667,5.2606665511131565,0,0.0,0.8333333333333334
