alpha,target_mean_deltaE,target_median_deltaE,target_max_deltaE,target_p95_deltaE,harm_count,harm_rate,classification_acc
0.0,13.554844494217015,14.28738945221139,16.589612585091494,16.248206750813104,0,0.0,0.25
0.25,10.847735646934273,11.381536283524898,13.158235026706672,12.971874068620645,0,0.0,0.25
0.5,8.106387893169407,8.624988958526604,9.721484461784398,9.581423566081405,0,0.0,0.5
0.75,5.3545303434201434,5.541436340266522,7.124975179709078,7.019965583782465,0,0.0,0.5833333333333334
1.0,2.736085044096805,2.387408273029741,5.16088316101784,4.826835192745512,0,0.0,1.0
