alpha,target_mean_deltaE,target_median_deltaE,target_max_deltaE,target_p95_deltaE,harm_count,harm_rate,classification_acc
0.0,14.042690221340443,14.701778232628936,16.265624660138783,16.240781131877437,0,0.0,0.16666666666666666
0.25,11.312088028957623,12.13331744938137,13.01887591642418,12.90260336430236,0,0.0,0.16666666666666666
0.5,8.540724871269896,9.001966564823924,9.960043062115776,9.950938318929257,0,0.0,0.3333333333333333
0.75,5.754862628170553,5.70542264472971,7.798026200353383,7.562715857690026,0,0.0,0.5833333333333334
1.0,3.0591637247915826,2.7598023276725367,5.7988208611891,5.350732998123454,0,0.0,0.9166666666666666
