alpha,target_mean_deltaE,target_median_deltaE,target_max_deltaE,target_p95_deltaE,harm_count,harm_rate,classification_acc
0.0,3.382989712818203,3.234821256404648,4.932100092906812,4.738914942421262,0,0.0,0.8333333333333334
0.25,2.3736101920028747,2.236679159322631,3.562915743772427,3.543569284562181,0,0.0,1.0
0.5,2.1695674272245973,2.345672337128773,3.316002145221384,3.1011565633902807,2,0.16666666666666666,1.0
0.75,2.9335330872382053,3.1200519959048725,4.067735943938175,3.9591217424401224,3,0.25,0.9166666666666666
1.0,4.306440413329755,4.280840951378346,5.679393550071786,5.590734688344355,8,0.6666666666666666,0.9166666666666666
