alpha,target_mean_deltaE,target_median_deltaE,target_max_deltaE,target_p95_deltaE,harm_count,harm_rate,classification_acc
0.0,3.4996664050162614,3.6185005759412325,4.688936649057044,4.56390154348361,0,0.0,0.9166666666666666
0.25,2.507967159882276,2.452765935454374,3.8004728669039345,3.6163763976005416,0,0.0,1.0
0.5,2.1749566235879505,1.9225895842774907,3.9920069144914874,3.5737613522227027,1,0.08333333333333333,1.0
0.75,2.822292633715836,2.7927002714852662,4.631717976125729,4.241179670713311,3,0.25,0.8333333333333334
1.0,4.133029110670673,4.165683628115263,5.631684974850587,5.594311714588964,8,0.6666666666666666,0.8333333333333334
