alpha,target_mean_deltaE,target_median_deltaE,target_max_deltaE,target_p95_deltaE,harm_count,harm_rate,classification_acc
0.0,14.068307507861768,14.932146342354574,16.661332507489384,16.438382481267265,0,0.0,0.16666666666666666
0.25,11.266182421156243,11.86394996906295,13.346521057465374,12.997408119483431,0,0.0,0.25
0.5,8.427654602639231,8.887284288515815,9.900755075703723,9.868468526228279,0,0.0,0.4166666666666667
0.75,5.601914623960718,5.802379317965149,7.141227801705462,7.140731084478487,0,0.0,0.5833333333333334
1.0,3.051396084932783,2.9909347207829193,4.6993663061622515,4.605526098462718,0,0.0,1.0
