alpha,target_mean_deltaE,target_median_deltaE,target_max_deltaE,target_p95_deltaE,harm_count,harm_rate,classification_acc
0.0,3.739852520578589,3.452068206364991,6.943056871297302,5.704325440671604,0,0.0,0.8333333333333334
0.25,2.6994530850805147,2.54216193240603,6.008250109334236,4.651300077343085,0,0.0,1.0
0.5,2.3295105025319276,2.265886174317316,5.344057908196411,4.235839024272345,1,0.08333333333333333,1.0
0.75,3.070395176906749,2.9607352271715284,5.170605696570668,4.554275722329738,2,0.16666666666666666,0.9166666666666666
1.0,4.4115272010546,4.285794884041666,5.729848233168918,5.691322695895919,8,0.6666666666666666,0.8333333333333334
