output_dir,model,ridge_alpha,chart_before_mean,chart_after_mean,chart_after_median,chart_after_max,chart_after_p95,chart_after_std,target_before_mean,target_after_mean,target_after_median,target_after_max,target_after_p95,target_after_std,classification_acc
output_root_poly2,root_poly2,1e-06,11.652825,2.8530541666666664,2.3181,7.4568,6.439479999999999,1.8039195071609964,13.534723293634883,2.5967066916432855,2.6168322306223564,4.397519061696223,4.243882175411342,1.2710311487453148,1.0
output_ccm,linear_bias,1e-06,11.655775,3.4053333333333335,2.9529,8.0067,7.022584999999999,1.9649898080029717,13.96411843934744,2.9299350632258463,2.7230405556948805,5.138392800466965,4.658797661338387,1.1001309761308224,1.0
output_root_poly2_ridge,root_poly2,0.0001,11.651179166666667,2.8549958333333336,2.33835,7.6533,6.552044999999999,1.8407249109791788,14.126340756497472,3.00930350011604,3.1667435602097553,4.850276680147493,4.820414991556924,1.3208333845931075,0.9166666666666666
output_real_correction,linear_bias,1e-06,11.658933333333332,3.4139125,2.9972000000000003,7.9865,7.020644999999999,1.958583702005206,13.908876489206856,3.0297594946539745,2.812974406785016,6.961223960763349,5.684482792828282,1.6728080218318795,0.8333333333333334
output_root_poly2_trim,root_poly2,0.0001,11.416104166666665,2.7865541666666664,2.2299499999999997,7.6983,6.5912599999999975,1.806062889727073,13.976265634639795,3.1047318217351076,3.1986695491416093,4.968361653316332,4.762093257449188,1.2454476405539947,1.0
output_poly2,poly2,1e-06,11.645508333333334,1.6763958333333333,1.3702,3.9746,3.5436249999999996,1.0072291287980633,14.104296872504541,4.529677429343738,4.452800617502826,6.904350848595818,6.683664259732431,1.2996535215814984,0.75
