编号,名称,LAB
以恒121,琥珀蓝,"34.61, -7.27, -12.46"
以恒122,天青色,"38.51, -3.83, -9.47"
以恒123,冰川蓝,"32.65, -1.32, -3.8"
以恒124,深蓝,"28.91, 0.14, -6.03"
以恒125,中国红,"44.01, 49.75, 21.64"
以恒126,草绿色,"52.52, -26.86, 22.77"
以恒127,翡翠绿,"40.62, -19.89, -2.82"
以恒128,浅咖啡,"38.85, 0.86, 6.87"
以恒129,石灰色,"66.68, -2.17, 2.42"
以恒130,交通白,"64.78, -0.67, 3.91"
以恒131,松鼠灰,"47.89, -0.99, 2.32"
以恒132,交通灰,"37.43, -0.54, -2.04"
以恒CX01,半透明,"80.87, -1.29, -3.93"
以恒CX02,瓷白,"97.77, -0.74, 1.71"
以恒CX03,米白,"96.18, -1.87, 7.93"
以恒CX04,象牙白,"88.4, -0.12, 11.19"
CX05,浅灰白,"84.22, 0.04, 2.15"
CX06,水彩灰,"80.58, 0.94, 3.84"
以恒CX07,淡雅灰,"85.07, -0.86, 8.27"
以恒CX08,香草灰,"77.27, 1.11, 6.63"
以恒CX09,杏子灰,"77.07, 0.9, 8.92"
以恒CX10,银河灰,"71.59, 0.69, 3.88"
以恒CX11,水晶灰,"80.35, -0.27, 3.17"
以恒CX12,云朵灰,"70.01, -0.77, 3.24"
以恒CX13,浅亚灰,"61.87, -0.85, 1.97"
以恒CX14,七度灰,"60.93, 0.37, 4.48"
以恒CX16,银灰,"60.04, 1.05, -3.79"
以恒CX17,木纹灰,"65.04, 2.41, 9.48"
以恒CX18,北欧灰,"55.04, 0.42, 4.27"
