alpha,target_mean_deltaE,target_median_deltaE,target_max_deltaE,target_p95_deltaE,harm_count,harm_rate,classification_acc
0.0,14.157644139643255,14.421402411043177,16.069363783624013,15.875404007828896,0,0.0,0.16666666666666666
0.25,11.392994642667631,11.70493949940196,12.622084161199139,12.61641903092054,0,0.0,0.16666666666666666
0.5,8.59002609844864,8.956826603924526,9.777727118788514,9.685855272701877,0,0.0,0.4166666666666667
0.75,5.770121532840595,5.705417447476897,7.172007237012366,7.0388069355078,0,0.0,0.5833333333333334
1.0,3.0416994847750423,3.3222263161382894,4.672190691266181,4.60300773617798,0,0.0,0.9166666666666666
