编号,名称,LAB
强鹰118,淡银灰,"68.41, -2.11, -0.86"
强鹰119,云石灰,"61.97, -1.38, -1.05"
强鹰120,铁灰色,"52.58, -1.71, -0.18"
强鹰121,银光灰,"67.39, -0.8, 6.19"
强鹰122,卡其银,"59.7, 1.5, 7.23"
强鹰123,卡其灰,"59, 3.28, 13.63"
强鹰124,山茶色,"46.1, 3.68, 14.41"
强鹰125,珍珠灰,"48.4, 0.65, 2.71"
强鹰126,黑古铜,"31.42, 5.66, 4.89"
强鹰170,交通白,"68.74, -1.65, 2.16"
