alpha,target_mean_deltaE,target_median_deltaE,target_max_deltaE,target_p95_deltaE,harm_count,harm_rate,classification_acc
0.0,14.27980622561356,14.45670160503207,16.420447731042753,16.399224703365626,0,0.0,0.16666666666666666
0.25,11.438302850245433,11.508957744860178,13.527725270196502,13.168574906758472,0,0.0,0.16666666666666666
0.5,8.555048232369767,8.814797143722622,10.612749837197384,9.872121715990854,0,0.0,0.3333333333333333
0.75,5.654819482011432,5.701407306909122,7.698234713722331,7.094298494151274,0,0.0,0.5
1.0,2.9166450079217685,2.810099039489408,4.803345070177018,4.635783153939842,0,0.0,0.8333333333333334
