output_dir,report_path,photo,standard_chart,model,ridge_alpha,white_balance_method,white_balance_applied,R_gain,G_gain,B_gain,correction_strength,chart_before_mean_deltaE,chart_after_mean_deltaE,chart_improvement_mean,chart_after_median_deltaE,chart_after_max_deltaE,chart_after_p95_deltaE,target_count,target_before_mean_deltaE,target_after_mean_deltaE,target_mean_improvement,target_after_median_deltaE,target_after_max_deltaE,target_after_p95_deltaE,target_after_std_deltaE,harm_count,harm_rate,classification_acc,pass_rate_after_threshold,before_mean_dL,before_mean_da,before_mean_db,after_mean_dL,after_mean_da,after_mean_db,after_mean_abs_dL,after_mean_abs_da,after_mean_abs_db,best_sweep_alpha,best_sweep_target_mean_deltaE,best_sweep_harm_rate,best_sweep_classification_acc,error_note
output_strong_wb_alpha05,C:\Users\70253\PycharmProjects\摸鱼\color\output_strong_wb_alpha05\report.json,qiangguang.jpg,standard_chart.png,root_poly2,1e-06,chart_gray,True,1.1106535196304321,1.171730875968933,1.4602793455123901,0.5,6.081342619296433,4.339159326560719,1.7421832927357137,4.557148506633486,9.24568786972122,7.858982426756411,12,3.3829404599299835,2.2636419265328938,1.11929853339709,2.5034320902386753,3.1779126098489985,2.984160596820303,0.6447176288512507,1,0.08333333333333333,1.0,,-1.2499166950583458,0.573166660964489,4.246416722734769,-0.06741667748428881,-0.4450833698113759,-0.4008333161473274,1.2607499891115974,1.6484166781107585,1.075999990105629,0.5,2.1695674272245973,0.16666666666666666,1.0,校正后整体改善，主要残差方向是 a 轴
output_strong_alpha05,C:\Users\70253\PycharmProjects\摸鱼\color\output_strong_alpha05\report.json,qiangguang.jpg,standard_chart.png,root_poly2,1e-06,none,False,1.0,1.0,1.0,0.5,6.6187591910685954,4.326398711983582,2.292360479085014,4.537336529867463,9.242015033828618,7.897577855033481,12,3.7398273744353063,2.436042423766575,1.3037849506687316,2.378686925108113,5.522705138631724,4.495336105511956,1.294973893517969,2,0.16666666666666666,1.0,,-1.8322500077386696,0.6988333476086458,4.4123333394527435,-0.577416663368543,-0.40341666154563427,-0.3936666821440061,1.895916685461998,1.4840833625445764,1.0770000045498211,0.5,2.3295105025319276,0.08333333333333333,1.0,校正后整体改善，主要残差方向是 L 轴
output_strong_chart_gray,C:\Users\70253\PycharmProjects\摸鱼\color\output_strong_chart_gray\report.json,qiangguang.jpg,standard_chart.png,root_poly2,1e-06,chart_gray,True,1.104371428489685,1.1612895727157593,1.4438718557357788,1.0,6.003764404681544,3.709774129158168,2.2939902755233756,3.1455842809699064,7.601770050337899,6.271825969791491,12,3.557848060181911,4.0401032997077335,-0.48225523952582233,3.957836286838927,5.656766711072519,5.450978445976864,0.984785998656389,6,0.5,0.9166666666666666,,-1.9737499877810478,0.8566667220244805,4.603250001246731,0.7634999950726827,-1.3415833575030167,-4.754916648070018,1.588999996582667,1.3867500238120556,4.754916648070018,0.5,2.0882095835620547,0.08333333333333333,1.0,校正后整体变差，且 b 轴发生正负翻转，疑似黄蓝方向/白平衡过补偿
output_strong_base,C:\Users\70253\PycharmProjects\摸鱼\color\output_strong_base\report.json,qiangguang.jpg,standard_chart.png,root_poly2,1e-06,none,False,1.0,1.0,1.0,1.0,6.559694476876288,3.6925184012669,2.8671760756093883,3.2820589113871663,7.4440513856751105,6.076460487191185,12,3.499616462926267,4.1330480137557695,-0.6334315508295031,4.165727379725223,5.631737053828912,5.594268657731735,0.98486135182322,8,0.6666666666666666,0.8333333333333334,,-1.6048333185414474,0.5317500357826551,4.270416701212525,0.9467500249544779,-1.2774999924004078,-5.003666639328003,1.6080833474795024,1.4368333232899506,5.003666639328003,0.5,2.1749566235879505,0.08333333333333333,1.0,校正后整体变差，且 b 轴发生正负翻转，疑似黄蓝方向/白平衡过补偿
output_strong_gray_world,C:\Users\70253\PycharmProjects\摸鱼\color\output_strong_gray_world\report.json,qiangguang.jpg,standard_chart.png,root_poly2,1e-06,gray_world,True,0.7996772527694702,1.0150723457336426,1.3083113431930542,1.0,6.525665286861813,3.6574001863933687,2.868265100468444,3.272195442433958,7.150150356536022,6.170245271099635,12,3.4810438441497387,4.2270749551321245,-0.7460311109823848,4.463636728881265,6.431806507926156,5.931233429894765,1.1910408376976351,6,0.5,0.9166666666666666,,-1.8306666910648346,0.7717500155170759,4.38591665464143,0.5195000072320303,-0.9931666478514671,-5.0994999806086225,1.6378333270549774,1.2903333182136218,5.0994999806086225,0.5,2.258437321706818,0.16666666666666666,1.0,校正后整体变差，且 b 轴发生正负翻转，疑似黄蓝方向/白平衡过补偿
