alpha,target_mean_deltaE,target_median_deltaE,target_max_deltaE,target_p95_deltaE,harm_count,harm_rate,classification_acc
0.0,3.5578964649677207,3.729604955267331,5.2397455310464585,4.900175264796211,0,0.0,0.8333333333333334
0.25,2.4930650906264424,2.5308658862785127,4.213831322513463,3.8771571957136817,0,0.0,1.0
0.5,2.0882095835620547,2.0628155480860473,3.473248178782665,3.4381709249576584,1,0.08333333333333333,1.0
0.75,2.7345505568800053,2.4951472388090687,3.995461318761485,3.9645861638506963,2,0.16666666666666666,0.9166666666666666
1.0,4.040121805446563,3.9579019251799217,5.656677849583546,5.450755476503826,6,0.5,0.9166666666666666
