alpha,target_mean_deltaE,target_median_deltaE,target_max_deltaE,target_p95_deltaE,harm_count,harm_rate,classification_acc
0.0,3.4810502846096862,3.7857572118799103,4.9486123042931425,4.7761348830993855,0,0.0,0.8333333333333334
0.25,2.4833218372338277,2.6141769360223486,4.129118271272579,3.8336237618170568,1,0.08333333333333333,0.9166666666666666
0.5,2.258437321706818,2.448312785390697,3.633328198545936,3.2351396698940604,2,0.16666666666666666,1.0
0.75,2.9204865479235793,3.3037205523407582,4.19534438451189,4.104092006545128,3,0.25,0.9166666666666666
1.0,4.2269469690700445,4.463385081275853,6.432033377421575,5.931264356022727,6,0.5,0.9166666666666666
